ProductName,SKUNumber,Collection,BRAND,Market Segment,SKUPrice,ProductPrice,ProductSize,ProductStructure,ProductType,ProductType2,ProductDescription,ProductSpecies,ProductColor,ProductWidth,ProductLength,ProductThickness,ProductInstallType,ProductSqFtPerBox,ProductWarranty,ProductBevel,ProductTexture,ProductHardness,ProductShade,ProductWeight,ProductEnvironmentalRating,ProductFinish,ProductWaterproof,ProductPatternRepeat,ProductEdgeEndShape,ProductLook,ProductWearlayer,ProductGlossLevel,ProductLivingRoom,ProductBedroom,ProductKitchen,ProductBathroom,ProductPets,ProductChildren,ProductHighTraffic,ProductTextureFilter,ProductPriceFilter,ProductSpeciesFilter,ProductShadeFilter,ProductLookFilter,ProductGlossLevelFilter
DUNE,1HE2M001,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
NATURAL,1HE2M002,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
HARVEST,1HE2M003,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Dark,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Dark,,Low gloss 
BOARDWALK,1HE2M004,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
DAWN,1HE2M005,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
ESPRESSO,1HE2M006,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Dark,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Dark,,Low gloss 
LATTE,1HE2M007,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
AUBURN,1HE2M008,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
MACCHIATO,1HE2M009,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
WEATHERED,1HE2M010,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
COCOA,1HE2M011,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
SERENE MAPLE LIGHT,1HE2M013,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
SERENE MAPLE MEDIUM ,1HE2M014,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium ,,Low gloss 
SERENE MAPLE DARK,1HE2M015,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Dark,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Dark,,Low gloss 
DREAM OUTDOORS OAK,1HE2M016,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
WATERMARK,1HE2M401,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
BROWNSTONE,1HE2M402,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Medium,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Medium,,Low gloss 
REFELCTION,1HE2M403,Concepts of Landscape ,AHF Contract,NA,9.990000000,$$$,NA,Vinyl,Vinyl Sheet,,,,1,"6'7""",,2 mm,Glue Down,,10 Year Commercial,,Embossed,,Light,,,,,,,,,Low gloss ,False,False,False,False,False,False,False,,PriceLevel3,,Light,,Low gloss 
